20MICRONS,20 Microns Limited,06-Oct-08,INE144J01027
21STCENMGM,21st Century Management Services Limited,03-May-95,INE253B01015
360ONE,360 ONE WAM LIMITED,19-Sep-19,INE466L01038
3IINFOLTD,3i Infotech Limited,22-Oct-21,INE748C01038
3MINDIA,3M India Limited,13-Aug-04,INE470A01017
3PLAND,3P Land Holdings Limited,19-Jul-95,INE105C01023
5PAISA,5Paisa Capital Limited,16-Nov-17,INE618L01018
63MOONS,63 moons technologies limited,20-Jun-05,INE111B01023
A2ZINFRA,A2Z Infra Engineering Limited,23-Dec-10,INE619I01012
AAATECH,AAA Technologies Limited,28-Nov-22,INE0D0U01013
AADHARHFC,Aadhar Housing Finance Limited,15-May-24,INE883F01010
AAKASH,Aakash Exploration Services Limited,29-Sep-20,INE087Z01024
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,06-Aug-21,INE198H01019
AARON,Aaron Industries Limited,06-Nov-20,INE721Z01010
AARTECH,Aartech Solonics Limited,10-Jul-23,INE01C001026
AARTIDRUGS,Aarti Drugs Limited,19-Sep-03,INE767A01016
AARTIIND,Aarti Industries Limited,08-Feb-95,INE769A01020
AARTIPHARM,Aarti Pharmalabs Limited,30-Jan-23,INE0LRU01027
AARTISURF,Aarti Surfactants Limited,14-Jul-20,INE09EO01013
AARVI,Aarvi Encon Limited,24-Jun-20,INE754X01016
AAVAS,Aavas Financiers Limited,08-Oct-18,INE216P01012
ABAN,Aban Offshore Limited,29-Mar-95,INE421A01028
ABB,ABB India Limited,08-Feb-95,INE117A01022
ABBOTINDIA,Abbott India Limited,08-Jan-10,INE358A01014
ABCAPITAL,Aditya Birla Capital Limited,01-Sep-17,INE674K01013
ABCOTS,A B Cotspin India Limited,24-Sep-25,INE08PH01015
ABDL,Allied Blenders and Distillers Limited,02-Jul-24,INE552Z01027
ABFRL,Aditya Birla Fashion and Retail Limited,17-Jul-13,INE647O01011
ABINFRA,A B Infrabuild Limited,08-Nov-24,INE00YB01025
ABLBL,Aditya Birla Lifestyle Brands Limited,23-Jun-25,INE14LE01019
ABMINTLLTD,ABM International Limited,09-Sep-21,INE251C01025
ABREL,Aditya Birla Real Estate Limited,27-Jun-03,INE055A01016
ABSLAMC,Aditya Birla Sun Life AMC Limited,11-Oct-21,INE404A01024
ACC,ACC Limited,20-Nov-96,INE012A01025
ACCELYA,Accelya Solutions India Limited,01-Dec-99,INE793A01012
ACCURACY,Accuracy Shipping Limited,11-Dec-20,INE648Z01023
ACE,Action Construction Equipment Limited,26-Sep-06,INE731H01025
ACEINTEG,Ace Integrated Solutions Limited,04-Nov-22,INE543V01017
ACI,Archean Chemical Industries Limited,21-Nov-22,INE128X01021
ACL,Andhra Cements Limited,10-May-23,INE666E01020
ACMESOLAR,Acme Solar Holdings Limited,13-Nov-24,INE622W01025
ACUTAAS,Acutaas Chemicals Limited,14-Sep-21,INE00FF01025
ADANIENSOL,Adani Energy Solutions Limited,31-Jul-15,INE931S01010
ADANIENT,Adani Enterprises Limited,04-Jun-97,INE423A01024
ADANIGREEN,Adani Green Energy Limited,18-Jun-18,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Limited,27-Nov-07,INE742F01042
ADANIPOWER,Adani Power Limited,20-Aug-09,INE814H01029
ADFFOODS,ADF Foods Limited,15-Sep-10,INE982B01027
ADL,Archidply Decor Limited,01-Oct-20,INE0CHO01012
ADOR,Ador Welding Limited,10-May-95,INE045A01017
ADROITINFO,Adroit Infotech Limited,13-Aug-97,INE737B01033
ADSL,Allied Digital Services Limited,25-Jul-07,INE102I01027
ADVANCE,Advance Agrolife Limited,08-Oct-25,INE1B0W01010
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,25-Jun-07,INE199C01026
ADVENTHTL,Advent Hotels International Limited,13-Nov-25,INE28GN01010
ADVENZYMES,Advanced Enzyme Technologies Limited,01-Aug-16,INE837H01020
AEGISLOG,Aegis Logistics Limited,03-Apr-96,INE208C01025
AEGISVOPAK,Aegis Vopak Terminals Limited,02-Jun-25,INE0INX01018
AEQUS,Aequs Limited,10-Dec-25,INE947N01017
AEROENTER,Aeroflex Enterprises Limited,21-Nov-22,INE065D01027
AEROFLEX,Aeroflex Industries Limited,31-Aug-23,INE024001021
AERONEU,Aeroflex Neu Limited,12-Jan-23,INE035801013
AETHER,Aether Industries Limited,03-Jun-22,INE0BWX01014
AFCONS,Afcons Infrastructure Limited,04-Nov-24,INE101I01011
AFFLE,Affle 3i Limited,08-Aug-19,INE00WC01027
AFFORDABLE,Affordable Robotic & Automation Limited,23-Oct-24,INE692Z01013
AFIL,Akme Fintrade (India) Limited,26-Jun-24,INE916Y01027
AFSL,Abans Financial Services Limited,23-Dec-22,INE00ZE01026
AGARIND,Agarwal Industrial Corporation Limited,26-May-14,INE204E01012
AGARWALEYE,Dr. Agarwal's Health Care Limited,04-Feb-25,INE943P01029
AGI,AGI Greenpac Limited,31-May-00,INE415A01038
AGIIL,Agi Infra Limited,15-Jul-24,INE976R01033
AGRITECH,Agri-Tech (India) Limited,28-Jan-14,INE449G01018
AGROPHOS,Agro Phos India Limited,08-Mar-19,INE740V01019
AGSTRA,AGS Transact Technologies Limited,31-Jan-22,INE583L01014
AHCL,Anlon Healthcare Limited,03-Sep-25,INE0Y8W01017
AHLADA,Ahlada Engineers Limited,28-Jan-21,INE00PV01013
AHLEAST,Asian Hotels (East) Limited,11-Aug-10,INE926K01017
AHLUCONT,Ahluwalia Contracts (India) Limited,14-Dec-09,INE758C01029
AIAENG,AIA Engineering Limited,14-Dec-05,INE212H01026
AIIL,Authum Investment & Infrastructure Limited,23-Apr-24,INE206F01022
AIRAN,Airan Limited,03-May-19,INE645W01026
AIROLAM,Airo Lam limited,13-Oct-21,INE801L01010
AJANTPHARM,Ajanta Pharma Limited,29-May-00,INE031B01049
AJAXENGG,Ajax Engineering Limited,17-Feb-25,INE274Y01021
AJMERA,Ajmera Realty & Infra India Limited,16-Jun-09,INE298G01027
AJOONI,Ajooni Biotech Limited,07-May-21,INE820Y01021
AKASH,Akash Infra-Projects Limited,11-Oct-19,INE737W01013
AKG,Akg Exim Limited,16-Feb-21,INE00Y801016
AKI,AKI India Limited,06-Apr-23,INE642Z01026
AKSHAR,Akshar Spintex Limited,23-May-22,INE256Z01025
AKSHARCHEM,AksharChem India Limited,28-Mar-17,INE542B01011
AKSHOPTFBR,Aksh Optifibre Limited,18-Aug-00,INE523B01011
AKUMS,Akums Drugs and Pharmaceuticals Limited,06-Aug-24,INE09XN01023
AKZOINDIA,Akzo Nobel India Limited,28-Jun-01,INE133A01011
ALANKIT,Alankit Limited,30-Jun-15,INE914E01040
ALBERTDAVD,Albert David Limited,14-Jun-16,INE155C01010
ALEMBICLTD,Alembic Limited,22-Sep-99,INE426A01027
ALGOQUANT,Algoquant Fintech Limited,06-Jan-26,INE598D01035
ALICON,Alicon Castalloy Limited,29-Sep-06,INE062D01024
ALIVUS,Alivus Life Sciences Limited,06-Aug-21,INE03Q201024
ALKALI,Alkali Metals Limited,06-Nov-08,INE773I01017
